grid_cell,ba,lat,lon,pr,distance_to_grid,population,surface_area_ofs,surface_area_ons
918,Saskatchewan.a,49.5,-106.875,Saskatchewan,67.0310277,2256,0,2502.1
919,Saskatchewan.a,49,-106.875,Saskatchewan,94.8935261,683,0,2527.79
92,British Columbia.a,58.5,-130,British Columbia,87.5089894,0,0,2008.93
920,Saskatchewan.a,59.5,-106.25,Saskatchewan,255.479892,0,0,1365.59
921,Saskatchewan.a,59,-106.25,Saskatchewan,200.6070223,1371,0,1385.98
922,Saskatchewan.a,58.5,-106.25,Saskatchewan,146.2821524,0,0,1607.15
923,Saskatchewan.a,58,-106.25,Saskatchewan,93.4657548,0,0,1833.97
924,Saskatchewan.a,57.5,-106.25,Saskatchewan,47.4901574,0,0,1653.12
925,Saskatchewan.a,57,-106.25,Saskatchewan,44.2365382,1871,0,1675.93
926,Saskatchewan.a,56.5,-106.25,Saskatchewan,88.5466888,0,0,2123.25
927,Saskatchewan.a,56,-106.25,Saskatchewan,141.0895085,0,0,2151.43
928,Saskatchewan.a,55.5,-106.25,Saskatchewan,195.3306715,0,0,653.83
929,Saskatchewan.a,55,-106.25,Saskatchewan,207.8802599,575,0,882.92
93,British Columbia.a,58,-130,British Columbia,31.9174974,0,0,2037.75
930,Saskatchewan.a,54.5,-106.25,Saskatchewan,153.3196261,0,0,2011.48
931,Saskatchewan.a,54,-106.25,Saskatchewan,99.9085039,1196,0,1357.49
932,Saskatchewan.a,53.5,-106.25,Saskatchewan,51.3673699,2025,0,1831.86
933,Saskatchewan.a,53,-106.25,Saskatchewan,35.3598455,46461,0,2316.99
934,Saskatchewan.a,52.5,-106.25,Saskatchewan,54.6937902,6011,0,2343.98
935,Saskatchewan.a,52,-106.25,Saskatchewan,32.8385018,4659,0,2370.79
936,Saskatchewan.a,51.5,-106.25,Saskatchewan,27.6203543,2313,0,2397.42
937,Saskatchewan.a,51,-106.25,Saskatchewan,53.267848,2351,0,2423.87
938,Saskatchewan.a,50.5,-106.25,Saskatchewan,29.0459768,1342,0,2205.12
939,Saskatchewan.a,50,-106.25,Saskatchewan,47.9167285,2269,0,1980.97
94,British Columbia.a,57.5,-130,British Columbia,23.7020227,478,0,2066.41
940,Saskatchewan.a,49.5,-106.25,Saskatchewan,24.200263,3708,0,2251.89
941,Saskatchewan.a,49,-106.25,Saskatchewan,71.1155857,1173,0,2275.01
942,Saskatchewan.a,59.5,-105.625,Saskatchewan,253.0369265,0,0,1170.51
943,Saskatchewan.a,59,-105.625,Saskatchewan,197.4402722,0,0,1187.98
944,Saskatchewan.a,58.5,-105.625,Saskatchewan,141.844252,0,0,1808.04
945,Saskatchewan.a,58,-105.625,Saskatchewan,86.2500917,0,0,1630.2
